model,dataset,threshold,n,corrected,corrected_pct,accuracy,delta,net_score,fix_rate,regression_rate,cc,cw,wc,ww,baseline_acc
qwen,strategyqa,9,2290,784,34.24,70.17,2.53,58,33.06,12.07,1362,187,245,496,67.64
qwen,strategyqa,10,2290,1078,47.07,69.26,1.62,37,42.38,17.88,1272,277,314,427,67.64
qwen,humaneval,1,164,0,0.0,71.95,0.0,0,0.0,0.0,118,0,0,46,71.95
qwen,humaneval,2,164,158,96.34,45.73,-26.22,-43,2.17,37.29,74,44,1,45,71.95
qwen,humaneval,3,164,159,96.95,45.73,-26.22,-43,2.17,37.29,74,44,1,45,71.95
qwen,humaneval,4,164,159,96.95,45.73,-26.22,-43,2.17,37.29,74,44,1,45,71.95
qwen,humaneval,5,164,159,96.95,45.73,-26.22,-43,2.17,37.29,74,44,1,45,71.95
qwen,humaneval,6,164,161,98.17,45.73,-26.22,-43,2.17,37.29,74,44,1,45,71.95
qwen,humaneval,7,164,161,98.17,45.73,-26.22,-43,2.17,37.29,74,44,1,45,71.95
qwen,humaneval,8,164,162,98.78,45.73,-26.22,-43,2.17,37.29,74,44,1,45,71.95
qwen,humaneval,9,164,162,98.78,45.73,-26.22,-43,2.17,37.29,74,44,1,45,71.95
qwen,humaneval,10,164,162,98.78,45.73,-26.22,-43,2.17,37.29,74,44,1,45,71.95
